url,price_rub,address,rooms,total_area_m2,floor,floors_total
https://krasnodar.cian.ru/sale/flat/318922939/?context=3.TTcBFQjUG88.keq91PsryewYpbBnfC7unIWWOfguA69vFnjGGMA9eVJnj0DGgNnMDg93-CdMJzWyz268EXheg9vgLw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3600000,"Краснодар, Прикубанский",2,71.5,7,7
https://krasnodar.cian.ru/sale/flat/324084914/?context=3.ocZKWYLBRRA.0ehX4uRfmQACapPY4bvBJ5FyfEE4Xi1-W4diNlYwGVkK7ffGy3oAP0kElpBsDUdeJSRIP8_lAyUbkQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3630000,"Краснодар, Прикубанский",0,32.3,11,17
https://krasnodar.cian.ru/sale/flat/317037727/?context=3.reOtNleJPuM.BqGNvqkQsJlGsvj6OTQ1qWCHeqqFHup-YTObAkEAg53VH1jFh-tBo_Mq_iLNxTqnK02TX1nxbqVLjw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3647000,"Краснодар, Прикубанский",0,20.84,7,9
https://krasnodar.cian.ru/sale/flat/324129587/?context=3.22scZ27nUjY.MXBnXCT7Y5zB-PYwkpGNKYjWv590ux-v2lqSv8ox9rJ6QkyTtzf3ZMPgXjgLLV69q_hEGW_ZcNJ7KA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3650000,"Краснодар, Прикубанский",1,35.0,12,16
https://maykop.cian.ru/sale/flat/328064807/?context=3.GgX0b9xzCfQ.Uw7XJNOvEV4mmOtGiyivNm5H85KyEFveEE5hwrU_qZqQSILp7vO7k4mqzSNACg2WwJGb8h6kHQzbsA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3650000,Краснодар,2,48.4,3,10
https://krasnodar.cian.ru/sale/flat/327586768/?context=3.dcJi6Ie3Nlo.T2HuY_EBus1FC_1gS8Oqht0nTcY6F8-yWe86p5LZT05WcL0eHMN498jKioKmkJ3VfZGrG4YBYun4rg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3700000,"Краснодар, Карасунский",1,38.2,15,20
https://maykop.cian.ru/sale/flat/328324536/?context=3.pbX8Sk6VXD4.GQBJcApQLUJkS8RGUXJF4J7ZENE-2k_AYueo45ftMg7jW2Jg79KEAo3et2qyMpDGoTuGNEOdK8vSPA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3700000,Краснодар,1,37.2,1,6
https://krasnodar.cian.ru/sale/flat/324143542/?context=3.A8C22P4DylQ.qZ-4e73XrFk49GGQkJEyZiBnUorQkHBDgnXL6wpi_YFdxORdNbsbeF8gnvCeY4Zw0vivgKJC8ZiLog&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3730000,"Краснодар, Прикубанский",1,35.1,11,21
https://krasnodar.cian.ru/sale/flat/324083274/?context=3.CAfaz6zfJKE.wPIdz0jX_gx043nPj9WgRXFSWmOogqD3-ElXPzMZCr1a6Te9kb-9dWtB806vPDQiDzyS1Aqagef9Mw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3750000,"Краснодар, Центральный",1,33.4,4,5
https://krasnodar.cian.ru/sale/flat/325105743/?context=3.xSNQpdjuY6Y.gv8tJLgnzEIQ9_0vn1ovnu6RQ-ywqSMMeAyFs9dv8NF5ODW9xCfwYMc2iCGgHDrFdPpSvDTFbooFDA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3800000,"Краснодар, Прикубанский",1,39.4,11,19
https://krasnodar.cian.ru/sale/flat/324143549/?context=3.gincEN3H0O0.PaDv6xytROF0i8ImY3ro1Jqz9rcIps-NfMjmW8efGKqWiCWYoQG9bYBvTGXVaF30ICVRlc7ow9BrOw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3830000,"Краснодар, Прикубанский",1,34.0,2,22
https://krasnodar.cian.ru/sale/flat/324143535/?context=3.D_XM_DpL_Xs.IIz4wcKHs0yNKYrPWvkqiTMSNCPtu8CGOgZDJTf4aFyKkviEH4lvy33Cm9W2xD5qMdOiiQUm44BCNQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3830000,"Краснодар, Прикубанский",1,33.0,13,19
https://krasnodar.cian.ru/sale/flat/316386037/?context=3.xwLWL5rdq2Q.quimF2-LCAm_gD9tpVRqVUNTMf9GA6DstTRKTxXcg10ttwnC9Xi4OQdRi6Uw6dSgblBWkU19jGwAtQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,3852292,"Краснодар, Прикубанский",0,26.4,12,15
